-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; INO  ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;   Geol   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   1 ;    1 ;    1 ;   2 ;  46.00 ;  3 ; NE            ;    12265.0 ;   5662.0 ;  3468.60 ;     0.00 ;  3953.21 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    -818.81 ;    -     ;    -     ;     0.00 ;   1630.3 ;      20038.22 ;    38.83 ;      20818.72 ;    40.34 ;  881.71 ;
   1 ;    1 ;    1 ;   3 ;  82.00 ;  3 ; NE            ;    10967.0 ;   5662.0 ;  3278.80 ;     0.00 ;  2148.73 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    -122.53 ;    -     ;    -     ;     0.00 ;   1630.3 ;      20038.22 ;    38.83 ;      20818.72 ;    40.34 ;  870.31 ;
   1 ;    1 ;    1 ;  -  ;   -    ;  3 ; NE            ;    11825.7 ;   5662.0 ;  3330.77 ;     0.00 ;  2923.89 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     -90.92 ;    -     ;    -     ;     0.00 ;   1630.3 ;      20038.22 ;    38.83 ;      20818.72 ;    40.34 ;  876.15 ;
   1 ;    1 ;    1 ;   1 ;  40.00 ;  4 ; N             ;     5878.0 ;    567.0 ;  2936.50 ;     0.00 ; 13718.14 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11343.64 ;    -     ;    -     ;     0.00 ;   1423.3 ;       3217.80 ;    21.27 ;       3215.86 ;    21.26 ;  881.71 ;
   1 ;    1 ;    1 ;   2 ;  46.00 ;  4 ; N             ;     5755.0 ;    567.0 ;  3002.80 ;     0.00 ; 11994.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -9808.80 ;    -     ;    -     ;     0.00 ;   1423.3 ;       3217.80 ;    21.27 ;       3215.86 ;    21.26 ;  881.71 ;
   1 ;    1 ;    1 ;   3 ;  82.00 ;  4 ; N             ;     5431.0 ;    567.0 ;  3027.90 ;     0.00 ; 10932.25 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -9096.15 ;    -     ;    -     ;     0.00 ;   1423.3 ;       3217.80 ;    21.27 ;       3215.86 ;    21.26 ;  870.31 ;
   1 ;    1 ;    1 ;  -  ;   -    ;  4 ; N             ;     5626.1 ;    567.0 ;  2999.27 ;     0.00 ; 11886.28 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -9826.40 ;    -     ;    -     ;     0.00 ;   1423.3 ;       3217.80 ;    21.27 ;       3215.86 ;    21.26 ;  876.15 ;
   1 ;    1 ;    1 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  881.71 ;
   1 ;    1 ;    1 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  881.71 ;
   1 ;    1 ;    1 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  870.31 ;
   1 ;    1 ;    1 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  876.15 ;
   2 ;    2 ;    1 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  3173.90 ;   550.00 ; 37933.58 ;     0.00 ;    21.26 ;     0.00 ;     0.00 ;    7166.78 ;  3500.00 ;  6629.00 ;     0.00 ;  77693.9 ;      52743.55 ;    25.81 ;      88531.65 ;    43.33 ;  158.03 ;
   2 ;    2 ;    1 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  3175.90 ;   550.00 ; 34855.16 ;     0.00 ;    98.77 ;     0.00 ;     0.00 ;    6168.71 ;  3500.00 ;  6150.97 ;     0.00 ;  77693.9 ;      52743.55 ;    25.81 ;      88531.65 ;    43.33 ;  146.71 ;
   2 ;    2 ;    1 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  2636.90 ;   550.00 ; 27230.66 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    6007.04 ;  1900.00 ;  4520.20 ;     0.00 ;  77693.9 ;      52743.55 ;    25.81 ;      88531.65 ;    43.33 ;   55.16 ;
   2 ;    2 ;    1 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  2895.12 ;   550.00 ; 31561.84 ;     0.00 ;    90.60 ;     0.00 ;     0.00 ;    6302.59 ;  2667.82 ;  5407.18 ;     0.00 ;  77693.9 ;      52743.55 ;    25.81 ;      88531.65 ;    43.33 ;  101.57 ;
   2 ;    2 ;    1 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;   732.30 ;     0.00 ;  4308.35 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    8821.35 ;    -     ;    -     ;     0.00 ;   3338.6 ;       5777.39 ;    29.04 ;       7183.46 ;    36.10 ;  158.03 ;
   2 ;    2 ;    1 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;   741.90 ;     0.00 ;  2305.49 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    8837.61 ;    -     ;    -     ;     0.00 ;   3338.6 ;       5777.39 ;    29.04 ;       7183.46 ;    36.10 ;  146.71 ;
