-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; INO  ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;   Geol   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;   22 ;   21 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  5219.70 ;   550.00 ; 21511.06 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    9143.84 ;  1900.00 ;  4520.20 ;     0.00 ;  58247.7 ;      52743.55 ;    25.81 ;      74858.80 ;    36.64 ;  538.63 ;
   2 ;   22 ;   21 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  5406.23 ;   550.00 ; 25805.50 ;     0.00 ;    97.60 ;     0.00 ;     0.00 ;    9554.83 ;  2667.82 ;  5407.18 ;     0.00 ;  58247.7 ;      52743.55 ;    25.81 ;      74858.80 ;    36.64 ;  557.52 ;
   2 ;   22 ;   21 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1264.30 ;     0.00 ;  6546.75 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    6050.95 ;    -     ;    -     ;     0.00 ;   3458.2 ;       5777.39 ;    29.04 ;       5774.21 ;    29.02 ;  581.88 ;
   2 ;   22 ;   21 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1273.90 ;     0.00 ;  4674.17 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    5936.93 ;    -     ;    -     ;     0.00 ;   3458.2 ;       5777.39 ;    29.04 ;       5774.21 ;    29.02 ;  574.75 ;
   2 ;   22 ;   21 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1300.60 ;     0.00 ;  2335.05 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    5744.35 ;    -     ;    -     ;     0.00 ;   3458.2 ;       5777.39 ;    29.04 ;       5774.21 ;    29.02 ;  538.63 ;
   2 ;   22 ;   21 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1285.69 ;     0.00 ;  3866.52 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    5861.67 ;    -     ;    -     ;     0.00 ;   3458.2 ;       5777.39 ;    29.04 ;       5774.21 ;    29.02 ;  557.52 ;
   2 ;   22 ;   21 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  2240.10 ;     0.00 ;  3601.32 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2347.58 ;    -     ;    -     ;     0.00 ;   8078.3 ;      20818.72 ;    40.34 ;      26249.29 ;    50.87 ;  581.88 ;
   2 ;   22 ;   21 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  2240.10 ;     0.00 ;  2398.25 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2869.65 ;    -     ;    -     ;     0.00 ;   8078.3 ;      20818.72 ;    40.34 ;      26249.29 ;    50.87 ;  574.75 ;
   2 ;   22 ;   21 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  2240.10 ;     0.00 ;  1886.77 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1928.13 ;    -     ;    -     ;     0.00 ;   8078.3 ;      20818.72 ;    40.34 ;      26249.29 ;    50.87 ;  538.63 ;
   2 ;   22 ;   21 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  2240.10 ;     0.00 ;  2394.96 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2265.93 ;    -     ;    -     ;     0.00 ;   8078.3 ;      20818.72 ;    40.34 ;      26249.29 ;    50.87 ;  557.52 ;
   2 ;   22 ;   21 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  1626.08 ;     0.00 ; 16264.92 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;  12937.6 ;       3215.86 ;    21.83 ;       8799.23 ;    59.72 ;  109.23 ;
   2 ;   22 ;   21 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  1605.08 ;     0.00 ; 16194.92 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;  12937.6 ;       3215.86 ;    21.83 ;       8799.23 ;    59.72 ;  109.23 ;
   2 ;   22 ;   21 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  1022.71 ;     0.00 ; 16020.29 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;  12937.6 ;       3215.86 ;    21.83 ;       8799.23 ;    59.72 ;   82.48 ;
   2 ;   22 ;   21 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  1306.77 ;     0.00 ; 16119.38 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11843.97 ;    -     ;    -     ;     0.00 ;  12937.6 ;       3215.86 ;    21.83 ;       8799.23 ;    59.72 ;   95.32 ;
   2 ;   22 ;   21 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  109.23 ;
   2 ;   22 ;   21 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  109.23 ;
   2 ;   22 ;   21 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;   82.48 ;
   2 ;   22 ;   21 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;   95.32 ;
   2 ;   23 ;   22 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  4380.90 ;   550.00 ; 32575.31 ;     0.00 ;    39.58 ;     0.00 ;     0.00 ;   11336.37 ;  3500.00 ;  6629.00 ;     0.00 ;  69813.2 ;      52743.55 ;    25.81 ;      84260.90 ;    41.24 ;  287.67 ;
   2 ;   23 ;   22 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  4382.90 ;   550.00 ; 30644.62 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    9189.08 ;  3500.00 ;  6150.97 ;     0.00 ;  69813.2 ;      52743.55 ;    25.81 ;      84260.90 ;    41.24 ;  286.05 ;
   2 ;   23 ;   22 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  4302.00 ;   550.00 ; 24836.28 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    6736.32 ;  1900.00 ;  4520.20 ;     0.00 ;  69813.2 ;      52743.55 ;    25.81 ;      84260.90 ;    41.24 ;  269.00 ;
   2 ;   23 ;   22 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  4340.39 ;   550.00 ; 28045.26 ;     0.00 ;    99.00 ;     0.00 ;     0.00 ;    8382.31 ;  2667.82 ;  5407.18 ;     0.00 ;  69813.2 ;      52743.55 ;    25.81 ;      84260.90 ;    41.24 ;  277.54 ;
   2 ;   23 ;   22 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1263.30 ;     0.00 ;  7973.67 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4625.03 ;    -     ;    -     ;     0.00 ;   4700.7 ;       5777.39 ;    29.04 ;       5854.61 ;    29.42 ;  287.67 ;
   2 ;   23 ;   22 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1272.90 ;     0.00 ;  6426.54 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4185.56 ;    -     ;    -     ;     0.00 ;   4700.7 ;       5777.39 ;    29.04 ;       5854.61 ;    29.42 ;  286.05 ;
   2 ;   23 ;   22 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1299.60 ;     0.00 ;  3191.40 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4889.00 ;    -     ;    -     ;     0.00 ;   4700.7 ;       5777.39 ;    29.04 ;       5854.61 ;    29.42 ;  269.00 ;
   2 ;   23 ;   22 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1284.69 ;     0.00 ;  5081.78 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4647.40 ;    -     ;    -     ;     0.00 ;   4700.7 ;       5777.39 ;    29.04 ;       5854.61 ;    29.42 ;  277.54 ;
   2 ;   23 ;   22 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  2046.00 ;     0.00 ;  3492.61 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2650.39 ;    -     ;    -     ;     0.00 ;   5988.5 ;      20818.72 ;    40.34 ;      24025.17 ;    46.56 ;  287.67 ;
   2 ;   23 ;   22 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  1990.36 ;     0.00 ;  2669.65 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2847.99 ;    -     ;    -     ;     0.00 ;   5988.5 ;      20818.72 ;    40.34 ;      24025.17 ;    46.56 ;  286.05 ;
   2 ;   23 ;   22 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  1809.80 ;     0.00 ;  1987.47 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2257.73 ;    -     ;    -     ;     0.00 ;   5988.5 ;      20818.72 ;    40.34 ;      24025.17 ;    46.56 ;  269.00 ;
   2 ;   23 ;   22 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  1908.60 ;     0.00 ;  2494.57 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2497.83 ;    -     ;    -     ;     0.00 ;   5988.5 ;      20818.72 ;    40.34 ;      24025.17 ;    46.56 ;  277.54 ;
   2 ;   23 ;   22 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  2809.50 ;     0.00 ; 15081.50 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;  12019.9 ;       3215.86 ;    21.83 ;       8979.20 ;    60.95 ;  284.86 ;
   2 ;   23 ;   22 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  2799.10 ;     0.00 ; 15000.90 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;  12019.9 ;       3215.86 ;    21.83 ;       8979.20 ;    60.95 ;  284.86 ;
   2 ;   23 ;   22 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  2770.30 ;     0.00 ; 11528.64 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -8955.94 ;    -     ;    -     ;     0.00 ;  12019.9 ;       3215.86 ;    21.83 ;       8979.20 ;    60.95 ;  269.00 ;
   2 ;   23 ;   22 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  2786.39 ;     0.00 ; 13212.53 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -10416.74 ;    -     ;    -     ;     0.00 ;  12019.9 ;       3215.86 ;    21.83 ;       8979.20 ;    60.95 ;  276.61 ;
   2 ;   23 ;   22 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  284.86 ;
   2 ;   23 ;   22 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  284.86 ;
   2 ;   23 ;   22 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  269.00 ;
   2 ;   23 ;   22 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  276.61 ;
   2 ;   24 ;   23 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  6488.30 ;   550.00 ; 30300.11 ;     0.00 ;    27.67 ;     0.00 ;     0.00 ;   11492.26 ;  3500.00 ;  6629.00 ;     0.00 ;  40133.8 ;      52743.55 ;    25.81 ;      60605.18 ;    29.66 ;  730.98 ;
   2 ;   24 ;   23 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  6490.30 ;   550.00 ; 27976.82 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    9749.48 ;  3500.00 ;  6150.97 ;     0.00 ;  40133.8 ;      52743.55 ;    25.81 ;      60605.18 ;    29.66 ;  723.18 ;
   2 ;   24 ;   23 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  6481.30 ;   550.00 ; 22043.01 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    7350.29 ;  1900.00 ;  4520.20 ;     0.00 ;  40133.8 ;      52743.55 ;    25.81 ;      60605.18 ;    29.66 ;  687.52 ;
   2 ;   24 ;   23 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  6485.18 ;   550.00 ; 25397.94 ;     0.00 ;    96.40 ;     0.00 ;     0.00 ;    8882.23 ;  2667.82 ;  5407.18 ;     0.00 ;  40133.8 ;      52743.55 ;    25.81 ;      60605.18 ;    29.66 ;  706.34 ;
   2 ;   24 ;   23 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1507.40 ;     0.00 ;  7701.59 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4653.01 ;    -     ;    -     ;     0.00 ;   5797.2 ;       5777.39 ;    29.04 ;       7008.46 ;    35.22 ;  730.98 ;
   2 ;   24 ;   23 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1517.00 ;     0.00 ;  6543.56 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3824.44 ;    -     ;    -     ;     0.00 ;   5797.2 ;       5777.39 ;    29.04 ;       7008.46 ;    35.22 ;  723.18 ;
   2 ;   24 ;   23 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1300.60 ;     0.00 ;  3304.14 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4775.26 ;    -     ;    -     ;     0.00 ;   5797.2 ;       5777.39 ;    29.04 ;       7008.46 ;    35.22 ;  687.52 ;
   2 ;   24 ;   23 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1402.35 ;     0.00 ;  5111.59 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4499.93 ;    -     ;    -     ;     0.00 ;   5797.2 ;       5777.39 ;    29.04 ;       7008.46 ;    35.22 ;  706.34 ;
   2 ;   24 ;   23 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  2442.10 ;     0.00 ;  3592.88 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2154.02 ;    -     ;    -     ;     0.00 ;   4211.4 ;      20818.72 ;    40.34 ;      22365.18 ;    43.34 ;  730.98 ;
   2 ;   24 ;   23 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  2414.10 ;     0.00 ;  2387.55 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2706.35 ;    -     ;    -     ;     0.00 ;   4211.4 ;      20818.72 ;    40.34 ;      22365.18 ;    43.34 ;  723.18 ;
   2 ;   24 ;   23 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  2414.10 ;     0.00 ;  1881.92 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1758.98 ;    -     ;    -     ;     0.00 ;   4211.4 ;      20818.72 ;    40.34 ;      22365.18 ;    43.34 ;  687.52 ;
   2 ;   24 ;   23 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  2420.21 ;     0.00 ;  2387.80 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2092.98 ;    -     ;    -     ;     0.00 ;   4211.4 ;      20818.72 ;    40.34 ;      22365.18 ;    43.34 ;  706.34 ;
   2 ;   24 ;   23 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  2809.50 ;     0.00 ; 15081.50 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;   8198.4 ;       3215.86 ;    21.83 ;       4545.62 ;    30.85 ;  716.17 ;
   2 ;   24 ;   23 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  2799.10 ;     0.00 ; 15000.90 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;   8198.4 ;       3215.86 ;    21.83 ;       4545.62 ;    30.85 ;  716.17 ;
   2 ;   24 ;   23 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  2770.30 ;     0.00 ; 11681.96 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -9109.26 ;    -     ;    -     ;     0.00 ;   8198.4 ;       3215.86 ;    21.83 ;       4545.62 ;    30.85 ;  687.52 ;
   2 ;   24 ;   23 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  2786.39 ;     0.00 ; 13292.27 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -10496.48 ;    -     ;    -     ;     0.00 ;   8198.4 ;       3215.86 ;    21.83 ;       4545.62 ;    30.85 ;  701.27 ;
   2 ;   24 ;   23 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  716.17 ;
   2 ;   24 ;   23 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  716.17 ;
   2 ;   24 ;   23 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  687.52 ;
   2 ;   24 ;   23 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  701.27 ;
   2 ;   25 ;   24 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  6488.30 ;   550.00 ; 31230.04 ;     0.00 ;    21.26 ;     0.00 ;     0.00 ;   10555.92 ;  3500.00 ;  6629.00 ;     0.00 ;  45174.0 ;      52743.55 ;    25.81 ;      66523.34 ;    32.56 ;  703.57 ;
   2 ;   25 ;   24 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  6490.30 ;   550.00 ; 28462.40 ;     0.00 ;   112.54 ;     0.00 ;     0.00 ;    9260.84 ;  3500.00 ;  6150.97 ;     0.00 ;  45174.0 ;      52743.55 ;    25.81 ;      66523.34 ;    32.56 ;  689.60 ;
   2 ;   25 ;   24 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  6481.30 ;   550.00 ; 21318.40 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    8074.90 ;  1900.00 ;  4520.20 ;     0.00 ;  45174.0 ;      52743.55 ;    25.81 ;      66523.34 ;    32.56 ;  652.54 ;
   2 ;   25 ;   24 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  6485.18 ;   550.00 ; 25351.12 ;     0.00 ;    94.20 ;     0.00 ;     0.00 ;    8926.85 ;  2667.82 ;  5407.18 ;     0.00 ;  45174.0 ;      52743.55 ;    25.81 ;      66523.34 ;    32.56 ;  673.38 ;
   2 ;   25 ;   24 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1507.40 ;     0.00 ;  9219.77 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3134.83 ;    -     ;    -     ;     0.00 ;   5651.2 ;       5777.39 ;    29.04 ;       6209.14 ;    31.21 ;  703.57 ;
   2 ;   25 ;   24 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1273.90 ;     0.00 ;  7432.28 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3178.82 ;    -     ;    -     ;     0.00 ;   5651.2 ;       5777.39 ;    29.04 ;       6209.14 ;    31.21 ;  689.60 ;
   2 ;   25 ;   24 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1300.60 ;     0.00 ;  3458.60 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4620.80 ;    -     ;    -     ;     0.00 ;   5651.2 ;       5777.39 ;    29.04 ;       6209.14 ;    31.21 ;  652.54 ;
   2 ;   25 ;   24 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1338.78 ;     0.00 ;  5755.88 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3919.21 ;    -     ;    -     ;     0.00 ;   5651.2 ;       5777.39 ;    29.04 ;       6209.14 ;    31.21 ;  673.38 ;
   2 ;   25 ;   24 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  2414.10 ;     0.00 ;  3855.03 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1919.87 ;    -     ;    -     ;     0.00 ;   3642.3 ;      20818.72 ;    40.34 ;      21686.46 ;    42.02 ;  703.57 ;
   2 ;   25 ;   24 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  2414.10 ;     0.00 ;  2354.74 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2739.16 ;    -     ;    -     ;     0.00 ;   3642.3 ;      20818.72 ;    40.34 ;      21686.46 ;    42.02 ;  689.60 ;
   2 ;   25 ;   24 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  2240.10 ;     0.00 ;  1984.53 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1830.37 ;    -     ;    -     ;     0.00 ;   3642.3 ;      20818.72 ;    40.34 ;      21686.46 ;    42.02 ;  652.54 ;
   2 ;   25 ;   24 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  2323.60 ;     0.00 ;  2489.83 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2087.56 ;    -     ;    -     ;     0.00 ;   3642.3 ;      20818.72 ;    40.34 ;      21686.46 ;    42.02 ;  673.38 ;
   2 ;   25 ;   24 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  2634.70 ;     0.00 ; 15256.30 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;   7319.3 ;       3215.86 ;    21.83 ;       4323.06 ;    29.34 ;  223.51 ;
   2 ;   25 ;   24 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  2624.30 ;     0.00 ; 15175.70 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;   7319.3 ;       3215.86 ;    21.83 ;       4323.06 ;    29.34 ;  223.51 ;
   2 ;   25 ;   24 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  2598.05 ;     0.00 ; 14444.95 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   7319.3 ;       3215.86 ;    21.83 ;       4323.06 ;    29.34 ;  223.51 ;
   2 ;   25 ;   24 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  2612.92 ;     0.00 ; 14813.23 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11843.97 ;    -     ;    -     ;     0.00 ;   7319.3 ;       3215.86 ;    21.83 ;       4323.06 ;    29.34 ;  223.51 ;
   2 ;   25 ;   24 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  223.51 ;
   2 ;   25 ;   24 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  223.51 ;
   2 ;   25 ;   24 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  223.51 ;
   2 ;   25 ;   24 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  223.51 ;
